App ID	#f1818	#f1823	#f1831	#fMS	#fThomas
C18_app212	scarcely procure 	scarcely procure 	scarcely procure 	<del rend="strikethrough" sID="c57-0018__main__d3e3673"/>spare<del eID="c57-0018__main__d3e3673"/>scarcelyvery little <lb n="c57-0018__main__12"/> money towards the procur<mdel>i</mdel>e<mdel>ng</mdel><metamark function="insert">^</metamark>any<mdel>of</mdel> 	scarcely procure 
C18_app213	food 	food 	food 	food 	food 
C18_app214	to support 	to support 	to support 	for 	to support 
C18_app215	it. 	it. 	it. 	it. 	it. 
C18_app216				<lb n="c57-0018__main__13"/><del rend="strikethrough" sID="c57-0018__main__d3e3717"/>This state of poverty<del eID="c57-0018__main__d3e3717"/> 	
C18_app217	They 	They 	They 	They 	They 
C18_app218	often, 	often, 	often, 	often 	often, 
C18_app219	I 	I 	I 	I 	I 
C18_app220	believe, 	believe, 	believe, 	believe<del rend="strikethrough" sID="c57-0018__main__d3e3721"/>d<del eID="c57-0018__main__d3e3721"/><lb n="c57-0018__main__14"/> 	believe, 
C18_app221	suffered the pangs of hunger very 	suffered the pangs of hunger very 	suffered the pangs of hunger very 	suffered the pangs of hunger very 	suffered the pangs of hunger very 
C18_app222	poignantly, 	poignantly, 	poignantly, 	poi <lb n="c57-0018__main__15"/> gnantly 	poignantly, 
C18_app223	especially the two 	especially the two 	especially the two 	especially the two 	especially the two 
C18_app224	younger cottagers; 	younger cottagers; 	younger cottagers; 	younger<del rend="strikethrough" sID="c57-0018__main__d3e3736"/>er part<del eID="c57-0018__main__d3e3736"/><lb n="c57-0018__main__16"/> 	younger cottagers; 
C18_app225	for 	for 	for 	for 	for 
C18_app226	several 	several 	several 	<metamark>^</metamark>several 	several 
C18_app227	times they 	times they 	times they 	times they 	times they 
C18_app228				<del rend="strikethrough" sID="c57-0018__main__d3e3752"/>often<del eID="c57-0018__main__d3e3752"/> 	
C18_app229	placed food before the old 	placed food before the old 	placed food before the old 	placed food before the old 	placed food before the old 
C18_app230	man, 	man, 	man, 	<lb n="c57-0018__main__17"/> man 	man, 
C18_app231	when 	when 	when 	when 	when 
C18_app232				<del rend="strikethrough" sID="c57-0018__main__d3e3759"/>they<del eID="c57-0018__main__d3e3759"/><metamark function="insert">^</metamark><del rend="strikethrough" sID="c57-0018__main__d3e3768"/>were<del eID="c57-0018__main__d3e3768"/><del rend="strikethrough" sID="c57-0018__main__d3e3775"/>themselves in want of it<del eID="c57-0018__main__d3e3775"/><lb n="c57-0018__main__18"/> 	
C18_app233	they 	they 	they 	they 	they 
C18_app234	reserved 	reserved 	reserved 	had 	reserved 
C18_app235	none for 	none for 	none for 	none for 	none for 
C18_app236	themselves.<p eID="novel1_letter4_chapter11_div4_div12_p5"/><p sID="novel1_letter4_chapter11_div4_div12_p6"/>“This 	themselves.<p eID="novel1_letter4_chapter11_div4_div11_p5"/><p sID="novel1_letter4_chapter11_div4_div11_p6"/>“This 	themselves.<p eID="novel1_letter4_chapter12_div4_div12_p5"/><p sID="novel1_letter4_chapter12_div4_div12_p6"/>“This 	<del rend="strikethrough" sID="c57-0018__main__d3e3781"/>their<del eID="c57-0018__main__d3e3781"/> themselves –This <lb n="c57-0018__main__19"/> 	themselves.<p eID="novel1_letter4_chapter11_div4_div12_p5"/><p sID="novel1_letter4_chapter11_div4_div12_p6"/>“This 
